
    ROCPROFV3 SUMMARY:

    |                   NAME                   |     DOMAIN      |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
    | hipGraphAddMemcpyNode1D                  | HIP_API         |               4 |           15018 |       3.754e+03 |      0.000154 |            1122 |           10690 |       4.629e+03 |
    | input_reduce_fusion_1                    | KERNEL_DISPATCH |               3 |           13600 |       4.533e+03 |      0.000140 |            3680 |            6240 |       1.478e+03 |
    | hipDeviceGetName                         | HIP_API         |              16 |           12130 |       7.581e+02 |      0.000125 |              90 |            6121 |       1.484e+03 |
    | hipGraphCreate                           | HIP_API         |               2 |           11982 |       5.991e+03 |      0.000123 |             871 |           11111 |       7.241e+03 |
    | hipCtxGetCurrent                         | HIP_API         |               8 |           10842 |       1.355e+03 |      0.000111 |             480 |            5761 |       1.793e+03 |
    | hipRuntimeGetVersion                     | HIP_API         |              16 |            6472 |       4.045e+02 |      0.000067 |              70 |            2735 |       6.640e+02 |
    | hipDriverGetVersion                      | HIP_API         |              16 |            5512 |       3.445e+02 |      0.000057 |              70 |            2405 |       5.730e+02 |
    | hipDeviceGetStreamPriorityRange          | HIP_API         |               4 |            4176 |       1.044e+03 |      0.000043 |             310 |            3126 |       1.389e+03 |
    | wrapped_divide                           | KERNEL_DISPATCH |               1 |            2400 |       2.400e+03 |      0.000025 |            2400 |            2400 |       0.000e+00 |

