Generating SQLite file nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite from nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.nsys-rep
Processing [nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/nvtx_sum.py]... 
SKIPPED: nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [nsys_vlp2d_2v_float64_Nx128_Nvx128_solver2.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)      Min (ns)     Max (ns)       StdDev (ns)             Name         
      0.1        2,898,976        780      3,716.6      3,632.0      3,456      4,352        175.9  void regular_fft_c2r<(unsigned int)128, EPT<(unsigned int)8>, (unsigned int)16, (unsigned int)4, (p…
      0.0        2,257,600          4    564,400.0    564,272.0    562,720    566,336      1,837.6  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<double, at::native::func_wrap…
      0.0        1,140,352        512      2,227.3      2,208.0      2,112      2,784         61.9  triton_poi_fused__to_copy_add_div_eq_floor_mul_select_stack_6                                       
      0.0          918,464        512      1,793.9      1,792.0      1,728      1,888         26.2  triton_poi_fused_add_div_floor_mul_neg_rsub_stack_sub_4                                             
      0.0          878,368        843      1,042.0      1,024.0        896      2,080         61.1  void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<double, double, do…
      0.0          715,968        512      1,398.4      1,392.0      1,312      1,664         62.0  triton_poi_fused__to_copy_add_div_eq_floor_mul_select_stack_5                                       
      0.0          659,648        260      2,537.1      2,496.0      2,336      3,808        203.6  void vector_fft_r2c<(unsigned int)128, EPT<(unsigned int)8>, (unsigned int)2, (unsigned int)32, (pa…
      0.0          411,296        168      2,448.2      2,432.0      2,400      2,848         58.3  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0          370,976        256      1,449.1      1,440.0      1,312      1,728         68.0  triton_poi_fused_mul_unsqueeze_2                                                                    
      0.0          327,392        256      1,278.9      1,280.0      1,184      1,536         79.0  triton_poi_fused_mul_neg_select_squeeze_stack_unsqueeze_view_as_complex_3                           
      0.0          249,792        192      1,301.0      1,312.0      1,024      1,376         60.6  void at::native::vectorized_elementwise_kernel<(int)2, at::native::BinaryFunctor<double, double, do…
      0.0          171,552        168      1,021.1      1,024.0        992      1,120         20.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, …
      0.0          166,368        166      1,002.2        992.0        928      1,120         37.5  void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<double, double, do…
      0.0          101,504         48      2,114.7      2,128.0      1,792      2,464        195.8  void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<long, long, long, …
      0.0           78,048         48      1,626.0      1,568.0      1,440      2,592        242.7  void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std…
      0.0           19,712          8      2,464.0      2,480.0      2,368      2,528         59.3  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)8>,…
      0.0           14,944         14      1,067.4      1,072.0        960      1,376        106.2  void at::native::vectorized_elementwise_kernel<(int)2, at::native::neg_kernel_cuda(at::TensorIterat…
      0.0           12,992          8      1,624.0      1,616.0      1,568      1,696         41.0  void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(…
      0.0           11,552          8      1,444.0      1,424.0      1,344      1,568        103.3  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0           11,104          8      1,388.0      1,408.0      1,248      1,568        127.9  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
